round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
31,Premier League,Everton vs Manchester City,3/17/2018,Everton,Manchester City,1,3
31,Premier League,Huddersfield Town vs West Bromwich Albion,3/17/2018,Huddersfield Town,West Bromwich Albion,1,0
31,Premier League,Southampton vs West Ham United,3/17/2018,Southampton,West Ham United,3,1
31,Premier League,Newcastle United vs Swansea City,3/17/2018,Newcastle United,Swansea City,1,0
31,Premier League,Watford vs Crystal Palace,3/17/2018,Watford,Crystal Palace,2,1
31,Premier League,Burnley vs Manchester United,3/17/2018,Burnley,Manchester United,2,3
31,Premier League,Leicester City vs Bournemouth,3/17/2018,Leicester City,Bournemouth,2,1
32,Premier League,Arsenal vs Southampton,3/31/2018,Arsenal,Southampton,3,2
32,Premier League,Burnley vs Chelsea,3/31/2018,Burnley,Chelsea,2,3
32,Premier League,Crystal Palace vs Liverpool,3/31/2018,Crystal Palace,Liverpool,1,2
32,Premier League,Everton vs Manchester City,3/31/2018,Everton,Manchester City,1,3
32,Premier League,Huddersfield Town vs Watford,3/31/2018,Huddersfield Town,Watford,1,0
32,Premier League,Leicester City vs Newcastle United,3/31/2018,Leicester City,Newcastle United,2,1
32,Premier League,Manchester United vs Swansea City,3/31/2018,Manchester United,Swansea City,2,0
32,Premier League,Southampton vs Chelsea,3/31/2018,Southampton,Chelsea,2,3
32,Premier League,Tottenham Hotspur vs Manchester United,3/31/2018,Tottenham Hotspur,Manchester United,2,1
32,Premier League,West Bromwich Albion vs Bournemouth,3/31/2018,West Bromwich Albion,Bournemouth,1,0
33,Premier League,Arsenal vs West Ham United,4/7/2018,Arsenal,West Ham United,4,1
33,Premier League,Burnley vs Leicester City,4/7/2018,Burnley,Leicester City,2,1
33,Premier League,Crystal Palace vs Huddersfield Town,4/7/2018,Crystal Palace,Huddersfield Town,2,0
33,Premier League,Everton vs Newcastle United,4/7/2018,Everton,Newcastle United,1,0
33,Premier League,Huddersfield Town vs Watford,4/7/2018,Huddersfield Town,Watford,1,0
33,Premier League,Leicester City vs Chelsea,4/7/2018,Leicester City,Chelsea,1,1
33,Premier League,Manchester United vs Tottenham Hotspur,4/7/2018,Manchester United,Tottenham Hotspur,2,1
33,Premier League,Southampton vs Bournemouth,4/7/2018,Southampton,Bournemouth,2,1
33,Premier League,West Bromwich Albion vs Crystal Palace,4/7/2018,West Bromwich Albion,Crystal Palace,1,2
33,Premier League,Watford vs Swansea City,4/7/2018,Watford,Swansea City,0,1
34,Premier League,Arsenal vs Manchester United,4/14/2018,Arsenal,Manchester United,2,2
34,Premier League,Burnley vs Southampton,4/14/2018,Burnley,Southampton,1,1
34,Premier League,Crystal Palace vs Brighton & Hove Albion,4/14/2018,Crystal Palace,Brighton & Hove Albion,3,2
34,Premier League,Everton vs Manchester City,4/14/2018,Everton,Manchester City,1,3
34,Premier League,Huddersfield Town vs Chelsea,4/14/2018,Huddersfield Town,Chelsea,1,2
34,Premier League,Leicester City vs West Bromwich Albion,4/14/2018,Leicester City,West Bromwich Albion,2,1
34,Premier League,Manchester United vs Watford,4/14/2018,Manchester United,Watford,2,0
34,Premier League,Southampton vs Stoke City,4/14/2018,Southampton,Stoke City,3,0
34,Premier League,Tottenham Hotspur vs Bournemouth,4/14/2018,Tottenham Hotspur,Bournemouth,4,0
34,Premier League,West Bromwich Albion vs Liverpool,4/14/2018,West Bromwich Albion,Liverpool,2,3
35,Premier League,Arsenal vs West Ham United,4/22/2018,Arsenal,West Ham United,4,1
35,Premier League,Burnley vs Chelsea,4/22/2018,Burnley,Chelsea,2,3
35,Premier League,Crystal Palace vs Liverpool,4/22/2018,Crystal Palace,Liverpool,1,2
35,Premier League,Everton vs Southampton,4/22/2018,Everton,Southampton,1,0
35,Premier League,Huddersfield Town vs Watford,4/22/2018,Huddersfield Town,Watford,1,0
35,Premier League,Leicester City vs Newcastle United,4/22/2018,Leicester City,Newcastle United,2,1
35,Premier League,Manchester United vs Swansea City,4/22/2018,Manchester United,Swansea City,2,0
35,Premier League,Southampton vs Chelsea,4/22/2018,Southampton,Chelsea,2,3
35,Premier League,Tottenham Hotspur vs Manchester United,4/22/2018,Tottenham Hotspur,Manchester United,2,1
35,Premier League,West Bromwich Albion vs Bournemouth,4/22/2018,West Bromwich Albion,Bournemouth,1,0
36,Premier League,Arsenal vs Newcastle United,4/28/2018,Arsenal,Newcastle United,2,1
36,Premier League,Burnley vs Leicester City,4/28/2018,Burnley,Leicester City,1,0
36,Premier League,Crystal Palace vs Watford,4/28/2018,Crystal Palace,Watford,2,1
36,Premier League,Everton vs Huddersfield Town,4/28/2018,Everton,Huddersfield Town,2,0
36,Premier League,Huddersfield Town vs Swansea City,4/28/2018,Huddersfield Town,Swansea City,1,0
36,Premier League,Leicester City vs Tottenham Hotspur,4/28/2018,Leicester City,Tottenham Hotspur,2,1
36,Premier League,Manchester United vs Brighton & Hove Albion,4/28/2018,Manchester United,Brighton & Hove Albion,1,0
36,Premier League,Southampton vs Bournemouth,4/28/2018,Southampton,Bournemouth,3,0
36,Premier League,West Bromwich Albion vs Liverpool,4/28/2018,West Bromwich Albion,Liverpool,2,3
36,Premier League,Watford vs Stoke City,4/28/2018,Watford,Stoke City,0,1
37,Premier League,Arsenal vs Burnley,5/6/2018,Arsenal,Burnley,5,0
37,Premier League,Bournemouth vs Manchester United,5/6/2018,Bournemouth,Manchester United,1,2
37,Premier League,Crystal Palace vs Leicester City,5/6/2018,Crystal Palace,Leicester City,5,0
37,Premier League,Everton vs Southampton,5/6/2018,Everton,Southampton,1,1
37,Premier League,Huddersfield Town vs Manchester City,5/6/2018,Huddersfield Town,Manchester City,1,2
37,Premier League,Leicester City vs Tottenham Hotspur,5/6/2018,Leicester City,Tottenham Hotspur,5,4
37,Premier League,Manchester United vs Chelsea,5/6/2018,Manchester United,Chelsea,2,1
37,Premier League,Southampton vs Swansea City,5/6/2018,Southampton,Swansea City,1,0
37,Premier League,West Bromwich Albion vs Watford,5/6/2018,West Bromwich Albion,Watford,1,1
37,Premier League,Watford vs Liverpool,5/6/2018,Watford,Liverpool,2,3
38,Premier League,Arsenal vs Huddersfield Town,5/13/2018,Arsenal,Huddersfield Town,1,0
38,Premier League,Burnley vs Southampton,5/13/2018,Burnley,Southampton,1,0
38,Premier League,Crystal Palace vs West Bromwich Albion,5/13/2018,Crystal Palace,West Bromwich Albion,2,0
38,Premier League,Everton vs Newcastle United,5/13/2018,Everton,Newcastle United,3,0
38,Premier League,Huddersfield Town vs Chelsea,5/13/2018,Huddersfield Town,Chelsea,1,1
38,Premier League,Leicester City vs Watford,5/13/2018,Leicester City,Watford,3,0
38,Premier League,Manchester United vs Cardiff City,5/13/2018,Manchester United,Cardiff City,2,0
38,Premier League,Southampton vs Stoke City,5/13/2018,Southampton,Stoke City,2,1
38,Premier League,Tottenham Hotspur vs Liverpool,5/13/2018,Tottenham Hotspur,Liverpool,5,2
38,Premier League,West Bromwich Albion vs Bournemouth,5/13/2018,West Bromwich Albion,Bournemouth,1,1
