round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
31,Premier League,Burnley vs Wolverhampton Wanderers,4/13/2019,Burnley,Wolverhampton Wanderers,0,4
31,Premier League,Cardiff City vs Liverpool,4/13/2019,Cardiff City,Liverpool,0,2
31,Premier League,Chelsea vs Leicester City,4/13/2019,Chelsea,Leicester City,2,1
31,Premier League,Crystal Palace vs Manchester City,4/13/2019,Crystal Palace,Manchester City,1,3
31,Premier League,Everton vs Manchester United,4/13/2019,Everton,Manchester United,4,0
31,Premier League,Fulham vs Tottenham Hotspur,4/13/2019,Fulham,Tottenham Hotspur,1,2
31,Premier League,Leicester City vs Newcastle United,4/13/2019,Leicester City,Newcastle United,0,1
31,Premier League,Southampton vs Watford,4/13/2019,Southampton,Watford,1,1
31,Premier League,West Ham United vs Huddersfield Town,4/13/2019,West Ham United,Huddersfield Town,4,3
32,Premier League,AFC Bournemouth vs Tottenham Hotspur,4/20/2019,AFC Bournemouth,Tottenham Hotspur,0,1
32,Premier League,Burnley vs Manchester City,4/20/2019,Burnley,Manchester City,0,1
32,Premier League,Cardiff City vs Fulham,4/20/2019,Cardiff City,Fulham,1,0
32,Premier League,Chelsea vs Burnley,4/20/2019,Chelsea,Burnley,2,2
32,Premier League,Crystal Palace vs Everton,4/20/2019,Crystal Palace,Everton,0,0
32,Premier League,Fulham vs Wolverhampton Wanderers,4/20/2019,Fulham,Wolverhampton Wanderers,0,1
32,Premier League,Leicester City vs Southampton,4/20/2019,Leicester City,Southampton,0,1
32,Premier League,Manchester United vs Manchester City,4/20/2019,Manchester United,Manchester City,0,2
32,Premier League,Newcastle United vs West Ham United,4/20/2019,Newcastle United,West Ham United,2,3
32,Premier League,Tottenham Hotspur vs Watford,4/20/2019,Tottenham Hotspur,Watford,1,0
33,Premier League,AFC Bournemouth vs Southampton,4/27/2019,AFC Bournemouth,Southampton,1,3
33,Premier League,Burnley vs Manchester United,4/27/2019,Burnley,Manchester United,2,0
33,Premier League,Cardiff City vs Liverpool,4/27/2019,Cardiff City,Liverpool,0,2
33,Premier League,Chelsea vs Watford,4/27/2019,Chelsea,Watford,3,0
33,Premier League,Crystal Palace vs Wolverhampton Wanderers,4/27/2019,Crystal Palace,Wolverhampton Wanderers,0,0
33,Premier League,Fulham vs Burnley,4/27/2019,Fulham,Burnley,0,2
33,Premier League,Leicester City vs Everton,4/27/2019,Leicester City,Everton,3,1
33,Premier League,Manchester City vs Tottenham Hotspur,4/27/2019,Manchester City,Tottenham Hotspur,1,0
33,Premier League,Southampton vs Newcastle United,4/27/2019,Southampton,Newcastle United,3,1
33,Premier League,West Ham United vs Manchester United,4/27/2019,West Ham Unit
34,Premier League,AFC Bournemouth vs Huddersfield Town,5/4/2019,AFC Bournemouth,Huddersfield Town,2,0
34,Premier League,Burnley vs Cardiff City,5/4/2019,Burnley,Cardiff City,2,0
34,Premier League,Chelsea vs Liverpool,5/4/2019,Chelsea,Liverpool,1,1
34,Premier League,Crystal Palace vs Leicester City,5/4/2019,Crystal Palace,Leicester City,0,0
34,Premier League,Everton vs Burnley,5/4/2019,Everton,Burnley,2,0
34,Premier League,Fulham vs Watford,5/4/2019,Fulham,Watford,1,4
34,Premier League,Leicester City vs West Ham United,5/4/2019,Leicester City,West Ham United,2,2
34,Premier League,Manchester United vs Chelsea,5/4/2019,Manchester United,Chelsea,1,1
34,Premier League,Southampton vs Cardiff City,5/4/2019,Southampton,Cardiff City,2,0
34,Premier League,Tottenham Hotspur vs Huddersfield Town,5/4/2019,Tottenham Hotspur,Huddersfield Town,4,0
35,Premier League,AFC Bournemouth vs Tottenham Hotspur,5/12/2019,AFC Bournemouth,Tottenham Hotspur,1,0
35,Premier League,Burnley vs Wolverhampton Wanderers,5/12/2019,Burnley,Wolverhampton Wanderers,0,4
35,Premier League,Cardiff City vs Southampton,5/12/2019,Cardiff City,Southampton,0,2
35,Premier League,Chelsea vs Watford,5/12/2019,Chelsea,Watford,3,0
35,Premier League,Crystal Palace vs Everton,5/12/2019,Crystal Palace,Everton,0,0
35,Premier League,Fulham vs Huddersfield Town,5/12/2019,Fulham,Huddersfield Town,2,1
35,Premier League,Leicester City vs Manchester United,5/12/2019,Leicester City,Manchester United,0,2
35,Premier League,Manchester City vs Brighton & Hove Albion,5/12/2019,Manchester City,Brighton & Hove Albion,4,1
35,Premier League,Southampton vs Newcastle United,5/12/2019,Southampton,Newcastle United,2,0
35,Premier League,West Ham United vs Watford,5/12/2019,West Ham United,Watford,3,1
36,Premier League,AFC Bournemouth vs Southampton,5/19/2019,AFC Bournemouth,Southampton,3,3
36,Premier League,Burnley vs Arsenal,5/19/2019,Burnley,Arsenal,1,3
36,Premier League,Cardiff City vs Crystal Palace,5/19/2019,Cardiff City,Crystal Palace,2,3
36,Premier League,Chelsea vs Leicester City,5/19/2019,Chelsea,Leicester City,0,0
36,Premier League,Everton vs Tottenham Hotspur,5/19/2019,Everton,Tottenham Hotspur,2,2
36,Premier League,Fulham vs Liverpool,5/19/2019,Fulham,Liverpool,2,1
36,Premier League,Leicester City vs Watford,5/19/2019,Leicester City,Watford,2,2
36,Premier League,Manchester City vs Burnley,5/19/2019,Manchester City,Burnley,5,0
36,Premier League,Newcastle United vs Wolverhampton Wanderers,5/19/2019,Newcastle United,Wolverhampton Wanderers,1,2
36,Premier League,Tottenham Hotspur vs Southampton,5/19/2019,Tottenham Hotspur,Southampton,2,1
37,Premier League,AFC Bournemouth vs Brighton & Hove Albion,5/26/2019,AFC Bournemouth,Brighton & Hove Albion,4,1
37,Premier League,Burnley vs Manchester United,5/26/2019,Burnley,Manchester United,2,0
37,Premier League,Cardiff City vs Manchester City,5/26/2019,Cardiff City,Manchester City,0,2
37,Premier League,Chelsea vs Huddersfield Town,5/26/2019,Chelsea,Huddersfield Town,3,1
37,Premier League,Everton vs Watford,5/26/2019,Everton,Watford,4,0
37,Premier League,Fulham vs Wolverhampton Wanderers,5/26/2019,Fulham,Wolverhampton Wanderers,0,2
37,Premier League,Leicester City vs Chelsea,5/26/2019,Leicester City,Chelsea,0,0
37,Premier League,Manchester United vs Fulham,5/26/2019,Manchester United,Fulham,2,0
37,Premier League,Southampton vs Newcastle United,5/26/2019,Southampton,Newcastle United,3,1
37,Premier League,Tottenham Hotspur vs Cardiff City,5/26/2019,Tottenham Hotspur,Cardiff City,4,0
38,Premier League,AFC Bournemouth vs Everton,5/26/2019,AFC Bournemouth,Everton,3,1
38,Premier League,Burnley vs Arsenal,5/26/2019,Burnley,Arsenal,1,3
38,Premier League,Cardiff City vs Southampton,5/26/2019,Cardiff City,Southampton,0,2
38,Premier League,Chelsea vs Watford,5/26/2019,Chelsea,Watford,3,0
38,Premier League,Crystal Palace vs Manchester United,5/26/2019,Crystal Palace,Manchester United,1,2
38,Premier League,Fulham vs Wolverhampton Wanderers,5/26/2019,Fulham,Wolverhampton Wanderers,0,2
38,Premier League,Leicester City vs Manchester City,5/26/2019,Leicester City,Manchester City,1,0
38,Premier League,Newcastle United vs Tottenham Hotspur,5/26/2019,Newcastle United,Tottenham Hotspur,4,2
38,Premier League,Southampton vs West Ham United,5/26/2019,Southampton,West Ham United,2,0
38,Premier League,West Ham United vs Watford,5/26/2019,West Ham United,Watford,1,1
